State,County,POPESTIMATE2020,POPESTIMATE2021,DEATHS2020,DEATHS2021
Arkansas,Franklin County,17122,17173,75,263
Arkansas,Fulton County,12033,12145,58,236
Arkansas,Garland County,100162,100330,437,1657
Arkansas,Grant County,17975,18090,72,248
Arkansas,Greene County,45818,46317,133,605
Arkansas,Hempstead County,19993,19694,60,291
Arkansas,Hot Spring County,33034,33148,121,488
Arkansas,Howard County,12755,12698,49,191
Arkansas,Independence County,37892,37723,136,485
Arkansas,Izard County,13576,13911,69,224
Arkansas,Jackson County,16737,16811,70,242
Arkansas,Jefferson County,66811,65861,224,944
Arkansas,Johnson County,25692,25845,81,326
Arkansas,Lafayette County,6294,6163,26,121
Arkansas,Lawrence County,16196,16292,77,268
Arkansas,Lee County,8529,8619,40,126
Arkansas,Lincoln County,12879,13037,54,158
Arkansas,Little River County,11971,11944,48,224
Arkansas,Logan County,21097,21215,86,343
Arkansas,Lonoke County,74042,74722,232,839
Arkansas,Madison County,16551,16960,39,204
Arkansas,Marion County,16862,16978,65,313
Arkansas,Miller County,42570,42649,130,584
Arkansas,Mississippi County,40503,39661,148,599
Arkansas,Monroe County,6765,6683,15,122
Arkansas,Montgomery County,8459,8611,46,165
Arkansas,Nevada County,8284,8187,29,126
Arkansas,Newton County,7198,7204,25,113
Arkansas,Ouachita County,22592,22306,97,405
Arkansas,Perry County,9997,9964,42,162
Arkansas,Phillips County,16445,15906,77,279
Arkansas,Pike County,10165,10066,23,177
Arkansas,Poinsett County,22893,22660,112,412
Arkansas,Polk County,19182,19353,72,341
Arkansas,Pope County,63346,63789,210,728
Arkansas,Prairie County,8248,8135,33,129
Arkansas,Pulaski County,399073,397821,1165,4632
Arkansas,Randolph County,18581,18865,65,286
Arkansas,St. Francis County,23046,22739,77,302
Arkansas,Saline County,123681,125233,353,1430
Arkansas,Scott County,9811,9822,48,128
Arkansas,Searcy County,7827,7880,28,141
Arkansas,Sebastian County,127739,128400,376,1542
Arkansas,Sevier County,15778,15783,43,187
Arkansas,Sharp County,17282,17622,85,335
Arkansas,Stone County,12364,12481,49,191
Arkansas,Union County,38925,38340,143,612
Arkansas,Van Buren County,15765,15694,79,279
Arkansas,Washington County,246662,250057,517,2089
Arkansas,White County,76810,77207,221,1020
Arkansas,Woodruff County,6200,6116,37,122
Arkansas,Yell County,20216,20155,65,273
California,California,39499738,39237836,81738,332337
California,Alameda County,1679844,1648556,2827,12705
California,Alpine County,1198,1235,10,15
California,Amador County,40541,41259,133,521
California,Butte County,210083,208309,607,2383
California,Calaveras County,45327,46221,136,603
California,Colusa County,21853,21917,47,150
California,Contra Costa County,1165562,1161413,2242,9804
California,Del Norte County,27709,28100,94,298
