submission_date,state,tot_death,new_death
5/12/2020,MS,769,10
6/5/2021,MT,1632,0
9/13/2021,DE,1900,0
11/4/2020,IN,4449,25
12/25/2020,GU,121,0
12/2/2021,IL,29477,45
11/15/2020,MT,520,6
1/22/2021,IN,9872,49
2/27/2022,WI,13256,0
10/28/2021,CA,71408,113
12/2/2020,CT,5091,51
12/14/2020,ID,1194,19
9/25/2021,CA,68087,0
7/29/2021,MO,9650,8
6/5/2020,WI,633,7
8/11/2020,MD,3720,12
4/27/2020,IN,924,31
8/12/2021,AL,12200,36
6/28/2020,VT,55,0
3/25/2022,MT,3242,2
8/1/2020,WI,954,13
9/13/2020,IL,8541,14
7/28/2020,WI,913,13
3/15/2021,ME,725,0
4/21/2020,MS,432,20
9/10/2020,VI,18,0
7/9/2020,NV,594,18
8/6/2020,WI,985,8
3/1/2021,CT,7651,29
4/24/2021,ME,772,0
7/9/2021,GU,141,0
10/14/2021,WA,8198,46
3/3/2022,WA,11954,0
8/16/2020,DE,593,0
4/21/2021,NE,2232,3
2/8/2020,IL,0,0
4/13/2022,IL,37800,11
10/30/2021,ID,3538,4
1/19/2022,ND,2056,9
8/10/2021,NH,1391,2
12/31/2020,ID,1436,33
12/20/2020,DE,862,4
3/26/2020,WA,147,15
5/10/2021,NV,5506,8
5/10/2021,ID,2061,0
11/13/2020,DE,734,2
6/16/2021,MO,9227,3
2/21/2022,DE,2695,0
4/15/2022,GU,354,0
11/23/2021,NC,18886,18
10/18/2021,GU,226,3
5/26/2020,WI,517,3
6/8/2021,WI,7981,16
5/29/2020,WA,1111,5
11/1/2021,AL,16148,5
8/23/2020,NE,378,5
3/26/2021,MO,8762,7
4/22/2020,VT,42,3
5/20/2020,ID,77,0
10/26/2021,NC,18310,30
11/9/2021,CT,8806,16
1/5/2022,NV,8488,20
3/4/2021,VT,204,0
12/26/2020,CT,5791,0
11/21/2021,MD,11138,4
10/10/2020,NV,1705,2
11/8/2021,NE,3040,39
1/27/2020,MO,0,0
5/7/2021,MI,19602,69
9/21/2021,DE,1927,7
12/30/2020,ND,1292,10
4/3/2020,AL,67,8
5/18/2020,ME,73,2
10/31/2020,NE,652,6
3/20/2020,ME,0,0
3/13/2022,NV,9922,0
3/31/2022,ME,2202,0
6/29/2021,ND,1528,0
10/4/2021,NH,1485,2
11/30/2020,CA,19220,31
3/7/2020,AL,1,0
12/13/2020,ID,1175,6
8/29/2020,IN,3267,8
12/13/2020,IN,6783,47
2/20/2021,DE,1366,23
10/11/2021,ND,1652,10
8/13/2021,AL,12260,60
11/18/2021,NH,1656,8
8/7/2021,VT,254,2
7/18/2020,WA,1444,10
2/16/2022,ME,1883,25
3/23/2022,ID,4860,-1
1/17/2022,NC,20526,65
6/11/2021,IN,13700,4
1/29/2021,DE,1078,3
1/9/2021,MO,7259,45
6/4/2021,WA,5836,15
12/9/2021,GU,267,0
1/12/2021,WA,3789,90
10/15/2021,MS,9919,2
5/19/2020,NC,732,12
6/30/2021,MI,21045,5
11/4/2021,MD,10970,13
8/30/2021,ID,2331,2
1/26/2020,CA,0,0
9/11/2020,NH,434,0
6/12/2021,CA,62508,-85
3/28/2021,NE,2175,0
4/29/2021,NV,5459,11
5/6/2021,IL,24483,40
6/11/2020,ND,74,1
2/10/2021,MS,6838,12
11/23/2021,GU,263,0
5/25/2021,MD,9625,11
1/4/2021,DE,937,7
10/10/2020,GU,58,0
4/14/2021,CT,7984,10
7/2/2020,NE,282,6
2/10/2020,NE,0,0
11/11/2020,ME,158,0
7/9/2020,NE,284,2
5/27/2021,MD,9642,9
8/30/2021,MT,1787,2
9/28/2020,NC,3769,30
8/19/2021,IL,26197,15
4/6/2022,WA,12544,17
8/23/2020,ID,307,1
10/12/2021,CT,8667,0
1/30/2021,CT,7046,0
4/12/2020,CT,554,60
2/28/2022,WA,11866,35
2/8/2022,WI,12739,70
7/16/2021,ME,882,4
12/13/2021,ND,1962,14
12/19/2020,MO,6257,49
3/6/2020,AL,1,0
10/10/2021,CA,69507,0
12/18/2021,NC,19395,26
4/22/2020,AL,283,18
10/31/2020,ND,531,7
2/18/2021,MD,8155,27
9/15/2020,IN,3442,21
1/8/2022,VT,460,1
1/28/2022,MS,10831,25
1/16/2022,VT,465,0
3/11/2022,ND,2223,0
12/1/2020,VT,76,4
6/17/2021,VI,30,0
1/23/2020,MI,0,0
5/12/2020,MO,677,12
6/23/2020,GU,5,0
7/23/2021,NV,5817,20
3/23/2022,VT,584,1
4/9/2022,GU,352,0
11/18/2021,VI,84,0
8/31/2020,MO,1881,23
3/10/2022,MT,3221,10
10/9/2020,ME,143,0
1/11/2022,ND,2041,7
11/20/2020,AL,5062,31
7/8/2020,VT,55,0
3/2/2020,MD,0,0
6/10/2021,NE,2256,0
6/4/2021,DE,1674,6
2/28/2020,MO,0,0
2/24/2022,DE,2703,0
3/29/2021,NH,1237,0
3/18/2021,IN,12877,14
1/25/2022,CA,78118,17
1/29/2020,AL,0,0
1/27/2021,GU,129,0
12/11/2021,WA,9554,0
2/9/2022,NV,9270,34
8/17/2021,WA,6269,21
4/27/2021,MO,8947,7
7/10/2020,IN,2732,9
5/19/2020,CA,3250,34
3/21/2021,MO,8720,6
11/3/2020,NE,660,4
8/22/2020,NV,1227,12
3/13/2022,NH,2415,0
6/27/2020,NC,1406,15
4/27/2020,VI,4,0
2/19/2021,VI,25,0
4/30/2021,ID,2046,1
4/4/2020,CA,276,39
3/8/2021,IL,23020,6
6/8/2021,GU,139,0
11/26/2020,IL,12596,156
4/24/2020,ME,47,3
8/7/2020,WI,997,12
4/1/2020,WI,24,8
1/23/2022,NC,20913,59
8/27/2020,NV,1300,21
2/21/2021,CT,7523,0
4/16/2020,VI,1,0
9/1/2021,CA,65430,143
6/1/2021,ID,2090,0
8/1/2021,MT,1706,1
2/12/2022,IN,22136,0
3/16/2022,ND,2229,1
10/25/2021,WA,8480,29
5/8/2020,VI,4,0
7/11/2020,MS,1682,24
1/3/2021,WA,3459,-2
2/5/2020,MO,0,0
6/25/2021,IL,25637,7
2/14/2022,ME,1849,21
7/8/2020,DE,517,2
9/8/2020,AL,3564,18
11/24/2020,NC,5621,36
12/6/2020,AL,5624,58
12/23/2021,DE,2255,6
3/31/2021,VT,223,1
12/4/2021,ME,1336,1
7/12/2020,DE,517,-1
1/22/2020,WA,0,0
9/15/2020,ME,138,1
1/1/2022,VI,89,0
10/22/2020,NV,1736,4
5/20/2021,MO,9005,9
7/19/2021,IN,13939,0
2/3/2020,MI,0,0
1/24/2022,IL,33803,357
6/15/2020,MT,19,0
8/5/2020,MT,66,1
5/17/2020,ND,43,1
10/29/2021,ID,3534,25
2/12/2020,CA,0,0
7/1/2020,AL,1362,18
6/3/2020,NV,445,25
1/3/2022,WA,9853,0
10/26/2021,ND,1746,11
9/20/2021,CA,67612,4
12/25/2021,NH,1877,0
11/22/2020,ND,846,6
4/1/2020,MI,687,129
2/2/2022,NH,2232,9
3/18/2020,NE,0,0
7/31/2020,VI,8,0
12/15/2021,IN,18272,96
6/19/2021,MT,1651,0
10/19/2020,WA,2258,19
8/12/2020,IL,7881,15
6/25/2020,MS,1324,13
4/3/2020,MI,930,117
5/26/2020,MS,961,12
3/15/2021,MS,7129,9
1/5/2021,NV,3235,29
2/17/2022,MD,13988,7
7/26/2021,GU,143,0
8/7/2020,CA,9807,147
12/30/2021,VI,89,1
2/24/2020,MI,0,0
5/12/2021,NV,5515,6
1/25/2022,NV,8797,37
6/8/2021,MS,7436,3
2/16/2020,ND,0,0
1/25/2021,IN,9958,12
1/5/2021,MS,5853,45
12/12/2020,IL,15232,165
7/9/2020,IN,2723,7
2/11/2021,IN,11991,26
11/14/2020,VI,23,0
2/3/2022,NH,2239,7
4/21/2021,ND,1484,0
1/11/2021,NC,8991,91
7/20/2021,NH,1384,2
3/30/2021,ME,743,5
4/14/2020,NV,130,10
5/9/2021,ID,2061,0
10/3/2020,WI,1383,20
9/9/2020,MT,119,0
10/24/2021,ID,3413,0
10/1/2020,WA,2132,6
6/25/2021,WI,8099,7
9/13/2021,IL,26969,42
3/14/2022,MI,35210,22
9/28/2020,CT,4503,2
12/7/2020,IL,14216,100
2/18/2022,ID,4674,20
8/13/2020,IL,7905,24
11/8/2021,IL,28877,45
7/7/2020,MT,23,0
3/10/2020,MD,0,0
3/24/2020,ID,0,0
1/5/2022,NE,3416,43
9/21/2020,IL,8693,7
9/14/2021,IN,14931,93
6/29/2020,MT,22,0
1/3/2022,NV,8428,8
7/28/2020,ME,121,0
4/6/2020,NC,59,9
3/22/2020,NE,0,0
9/12/2021,WA,6960,21
12/22/2020,NV,2825,38
5/24/2021,MO,9062,56
8/26/2020,MD,3837,10
4/6/2021,NV,5297,22
9/22/2021,MD,10372,18
10/26/2021,GU,232,2
11/12/2021,NH,1622,5
8/22/2021,MT,1757,1
2/13/2022,VT,537,0
2/5/2022,NV,9144,0
2/3/2021,GU,129,0
3/14/2020,NE,0,0
2/21/2021,GU,130,0
5/10/2021,NC,13228,5
10/25/2021,IN,16520,0
1/14/2022,NV,8627,21
9/17/2020,AL,3782,19
6/13/2021,MI,20875,11
6/24/2021,IN,13809,3
4/17/2020,ME,29,2
2/25/2022,MT,3172,10
2/5/2022,ID,4479,1
6/21/2020,NE,244,0
1/6/2022,VT,459,0
4/23/2021,ND,1486,0
10/12/2020,VI,20,0
1/6/2021,MI,14294,69
2/10/2020,ME,0,0
3/18/2022,WA,12333,32
3/1/2021,AL,10591,17
3/18/2021,CT,7822,15
5/17/2020,ID,73,0
3/4/2022,NH,2402,4
5/7/2021,MD,9434,10
2/13/2022,MO,17987,0
3/16/2020,VI,0,0
2/17/2022,IN,22426,49
10/7/2020,GU,57,2
10/31/2021,IN,16729,0
10/29/2020,WA,2359,6
6/24/2021,WI,8092,15
3/25/2021,MO,8755,9
4/24/2020,NC,323,17
5/13/2021,VI,27,0
3/14/2020,WA,40,3
3/3/2020,NH,0,0
1/31/2021,MI,15824,55
4/5/2020,NE,8,0
8/16/2020,CT,4453,0
3/31/2022,NV,10107,16
5/12/2021,ID,2064,6
3/16/2022,MS,12308,20
2/12/2021,MI,16274,34
1/7/2022,GU,274,0
2/21/2021,DE,1367,1
10/14/2021,IN,16218,84
3/19/2021,MI,16961,18
9/29/2020,NE,478,6
4/14/2020,CA,692,34
6/1/2021,GU,139,0
1/26/2021,MD,7407,48
7/19/2021,VI,32,0
3/26/2021,CA,57336,245
3/7/2020,MI,1,0
1/28/2020,ID,0,0
10/8/2021,NC,17596,48
3/27/2021,CT,7865,0
12/20/2021,ND,1990,10
3/4/2020,CT,0,0
11/16/2020,MD,4488,16
12/27/2021,MS,10398,4
8/11/2020,DE,591,0
9/22/2020,WA,2070,15
6/16/2021,WA,5801,1
4/24/2021,MI,18750,64
8/25/2021,ND,1556,3
3/31/2020,MI,558,116
2/7/2020,IL,0,0
3/21/2022,NV,10016,28
1/19/2022,MT,2964,7
4/30/2021,WA,5499,12
4/16/2020,DE,52,6
5/20/2020,VT,53,0
12/22/2021,WI,10894,43
9/21/2021,NE,2382,3
1/4/2022,MS,10492,37
9/30/2020,MO,2525,23
11/3/2020,NV,1807,23
2/7/2022,ME,1804,0
4/13/2022,CA,88557,0
7/7/2020,NH,384,2
7/29/2020,MS,2212,30
4/20/2021,VI,27,0
9/2/2020,MS,2902,16
2/6/2020,ME,0,0
12/24/2021,IL,30566,0
8/12/2020,NC,2461,29
4/11/2020,NV,112,10
5/26/2021,MT,1607,1
9/8/2021,VI,63,1
11/18/2021,WI,9800,23
6/28/2020,MI,6293,7
10/9/2020,ID,506,3
7/24/2021,GU,143,0
12/25/2020,MO,6560,48
8/26/2021,MS,8279,35
11/14/2021,GU,258,0
3/11/2021,ND,1455,1
10/19/2020,AL,4357,22
5/8/2021,VT,245,0
5/4/2020,MI,4800,85
3/17/2022,AL,19380,8
7/10/2020,MI,6390,8
11/27/2021,NE,3146,0
11/25/2020,NC,5655,34
10/26/2020,NH,475,2
8/8/2020,MI,6612,10
10/15/2020,MD,4165,5
4/6/2021,VI,26,0
9/28/2021,AL,15224,58
11/19/2021,MO,15323,107
3/29/2021,DE,1552,8
3/30/2021,WI,7292,15
3/26/2021,NE,2175,0
12/13/2020,NC,6562,80
9/15/2020,VI,19,0
11/6/2020,NV,1845,21
