submission_date,state,tot_death,new_death
11/27/2020,LA,6391,41
4/15/2021,NJ,25053,47
4/16/2021,WY,703,0
3/3/2022,LA,16711,34
1/8/2021,OR,1575,7
11/8/2021,NJ,28092,7
6/3/2020,LA,2870,35
12/17/2020,AZ,7677,147
6/23/2020,RI,905,3
5/25/2020,NJ,11144,11
8/14/2021,RI,2745,2
4/21/2021,MN,7122,13
12/8/2020,LA,6652,45
8/4/2020,OR,333,5
7/28/2021,RI,2738,0
3/1/2020,WY,0,0
4/14/2022,SC,17698,0
3/5/2020,AZ,0,0
10/11/2020,WY,54,0
11/29/2020,MN,3637,57
5/31/2020,MN,1060,10
2/25/2021,VA,8197,234
2/26/2021,SC,8465,34
10/14/2021,AZ,20453,6
1/26/2020,MN,0,0
5/6/2021,AZ,17367,7
12/31/2021,RI,3074,8
7/27/2020,WY,25,0
6/28/2021,AZ,17913,0
9/5/2020,OR,480,5
3/3/2021,AZ,16089,29
5/19/2021,AZ,17497,17
4/14/2020,KY,124,8
12/17/2021,NJ,28675,16
3/30/2022,MN,12621,11
8/28/2021,DC,1159,0
11/9/2020,RI,1232,1
10/10/2021,AZ,20382,32
3/22/2021,SC,8995,20
5/27/2020,AZ,831,24
2/17/2022,DC,1313,2
1/4/2021,NJ,19244,36
3/17/2020,NJ,3,1
7/5/2020,DC,559,2
12/20/2020,VA,4654,4
3/6/2021,AZ,16323,54
11/8/2020,AZ,6164,17
7/24/2021,LA,10904,4
5/4/2021,OR,2508,6
2/18/2021,LA,9406,15
12/16/2020,RI,1585,19
7/13/2021,AZ,18055,20
1/8/2021,SC,5701,34
7/8/2020,NJ,15423,142
2/4/2020,KY,0,0
8/12/2021,RI,2743,0
4/29/2021,DC,1105,1
2/25/2021,LA,9561,33
2/12/2022,KY,14399,34
7/4/2021,OR,2781,0
4/13/2022,RI,3527,0
3/1/2021,AZ,15979,-1
3/4/2020,DC,0,0
8/22/2020,OR,417,3
11/13/2021,WY,1298,0
3/23/2021,LA,10037,7
1/15/2022,AZ,25171,103
8/23/2020,MN,1817,4
8/31/2020,RI,1047,2
11/25/2020,VA,4029,21
12/24/2020,KY,4484,74
10/31/2020,AZ,5979,45
3/16/2020,MN,0,0
7/18/2021,WY,760,0
8/15/2020,RI,1021,1
5/2/2021,SC,9498,14
12/25/2020,DC,756,0
4/2/2020,WY,0,0
4/27/2020,OR,92,1
3/13/2022,RI,3505,0
4/3/2022,LA,17138,0
8/1/2021,WY,776,0
2/28/2020,LA,0,0
1/4/2021,RI,1850,16
6/11/2021,SC,9777,17
2/22/2020,SC,0,0
1/25/2021,SC,6566,5
10/31/2021,VA,13948,0
3/11/2022,MN,12464,9
3/30/2020,DC,9,0
9/8/2021,WY,879,0
2/25/2020,OR,0,0
2/20/2022,WY,1689,0
8/19/2021,FSM,0,0
1/20/2022,VA,15854,-1
6/20/2020,WY,20,0
10/28/2021,LA,14525,19
7/7/2021,VA,11441,5
11/21/2020,MN,3257,51
8/10/2021,MN,7798,7
8/22/2020,DC,604,2
4/4/2020,RI,17,3
6/24/2021,LA,10717,8
7/22/2021,SC,9916,8
9/27/2021,KY,10434,77
3/15/2021,WY,691,0
7/14/2020,VA,1992,15
5/20/2021,VA,11074,6
3/5/2020,MN,0,0
9/22/2020,DC,621,0
12/29/2020,AZ,8640,171
6/24/2020,MN,1432,0
11/2/2020,OR,692,1
4/13/2020,FSM,0,0
2/22/2022,RI,3432,2
4/9/2020,NJ,1700,196
7/22/2021,RI,2738,1
2/7/2022,RI,3391,5
2/21/2022,VA,18231,145
2/6/2020,RI,0,0
3/9/2020,MN,0,0
11/6/2021,MN,8952,0
9/2/2021,KY,9015,49
5/1/2021,KY,7599,3
9/22/2021,WY,955,0
3/9/2022,WY,1749,0
9/23/2020,FSM,0,0
2/16/2021,SC,8060,27
5/31/2021,RI,2710,0
6/15/2021,WY,734,9
5/3/2021,LA,10393,11
12/25/2020,AZ,8409,115
8/2/2021,OR,2863,3
10/27/2021,OR,4334,16
2/20/2022,OR,6456,0
5/31/2021,SC,9719,4
1/7/2022,WY,1572,0
5/28/2021,MN,7501,5
11/19/2020,RI,1286,4
7/6/2021,FSM,0,0
3/22/2020,WY,0,0
1/31/2021,AZ,13120,22
12/5/2021,OR,5243,0
10/21/2021,NJ,27805,22
7/16/2021,KY,7985,6
10/7/2021,NJ,27551,9
8/10/2021,FSM,0,0
3/18/2020,FSM,0,0
8/14/2020,DC,594,0
4/2/2020,SC,17,3
12/15/2020,WY,328,7
8/10/2021,NJ,26659,9
11/20/2021,OR,4914,0
4/20/2021,LA,10306,13
3/24/2021,OR,2368,1
1/10/2022,FSM,0,0
4/3/2020,WY,0,0
10/13/2021,LA,14268,30
4/8/2021,SC,9211,21
4/23/2020,LA,1599,67
7/4/2020,KY,710,7
12/25/2021,MN,10440,0
1/9/2021,AZ,10036,98
1/14/2021,OR,1737,29
2/3/2022,OR,6181,18
4/8/2020,MN,50,11
1/2/2022,RI,3089,6
3/11/2021,RI,2555,4
1/19/2021,NJ,20512,54
12/30/2020,LA,7448,51
2/3/2020,VA,0,0
5/16/2020,NJ,10249,111
10/26/2021,NJ,27896,33
2/21/2022,WY,1689,0
1/9/2021,WY,489,0
9/21/2021,AZ,19584,71
8/10/2020,FSM,0,0
1/3/2022,MN,10704,48
1/2/2021,LA,7488,0
4/12/2021,FSM,0,0
3/31/2022,OR,7144,5
10/10/2021,NJ,27597,7
7/2/2021,VA,11423,0
5/30/2021,MN,7519,8
8/23/2020,LA,4746,59
11/27/2021,VA,14656,0
4/10/2022,VA,19884,0
11/25/2020,MN,3434,75
2/28/2021,KY,7031,20
3/30/2021,LA,10132,10
1/8/2022,AZ,24704,88
2/22/2020,MN,0,0
6/27/2021,KY,7908,3
4/21/2020,OR,78,3
5/22/2021,DC,1125,0
2/23/2022,WY,1718,0
3/9/2021,DC,1036,1
10/6/2021,NJ,27542,17
1/17/2022,NJ,30120,31
6/14/2021,LA,10655,7
6/15/2020,VA,1570,18
8/4/2020,SC,1784,17
4/6/2021,VA,10415,14
1/23/2022,MN,11291,0
11/15/2020,MN,2961,31
5/11/2020,FSM,0,0
10/19/2021,LA,14388,38
2/9/2020,LA,0,0
12/19/2020,SC,4896,22
7/19/2021,AZ,18117,0
7/7/2021,KY,7945,5
6/28/2021,NJ,26438,1
6/24/2020,NJ,12995,46
1/8/2022,RI,3123,2
3/29/2020,DC,9,4
8/26/2020,FSM,0,0
2/14/2021,AZ,14978,30
3/9/2022,DC,1324,0
1/24/2022,NJ,30799,40
5/7/2021,MN,7309,12
1/26/2020,AZ,0,0
11/27/2021,DC,1196,0
2/22/2021,FSM,0,0
6/13/2020,OR,174,1
2/14/2020,LA,0,0
11/15/2021,RI,2895,2
10/6/2020,NJ,16147,9
11/9/2020,LA,6048,12
9/18/2021,LA,13435,17
7/4/2021,RI,2729,0
12/2/2020,KY,3223,41
8/20/2021,LA,11918,67
11/6/2020,NJ,16416,13
5/27/2021,WY,719,0
2/11/2021,SC,7837,92
9/14/2020,WY,46,4
10/29/2021,NJ,27961,12
11/25/2020,SC,4318,24
4/20/2020,DC,105,9
4/20/2021,MN,7109,5
4/4/2021,SC,9180,9
11/30/2021,SC,14245,2
9/13/2020,MN,1974,3
1/10/2021,WY,489,0
6/18/2021,KY,7869,4
1/5/2022,VA,15643,12
11/19/2021,AZ,21886,78
9/2/2021,AZ,18879,26
1/20/2021,NJ,20664,152
2/26/2022,MN,12261,0
5/8/2020,LA,2227,19
8/20/2020,MN,1800,8
8/27/2020,KY,1149,12
4/9/2020,SC,55,5
8/4/2020,LA,4051,27
6/29/2021,OR,2770,7
10/23/2020,AZ,5865,6
2/21/2020,WY,0,0
4/15/2020,SC,92,10
10/18/2020,LA,5750,23
5/15/2020,RI,479,11
10/13/2021,RI,2856,1
5/2/2020,RI,296,17
6/14/2021,DC,1138,1
7/4/2021,LA,10759,1
5/4/2020,NJ,7910,39
2/19/2020,RI,0,0
4/17/2021,DC,1095,2
8/12/2020,VA,2364,12
1/3/2022,FSM,0,0
5/26/2021,NJ,26159,35
5/29/2021,NJ,26201,16
4/28/2020,KY,247,4
3/10/2020,KY,0,0
2/4/2022,AZ,26530,100
11/14/2020,VA,3800,1
3/16/2022,RI,3510,4
6/6/2020,NJ,12106,57
3/31/2020,OR,18,2
5/17/2020,SC,381,8
1/29/2021,AZ,13022,203
11/21/2021,VA,14522,0
1/27/2021,MN,6192,18
3/5/2020,NJ,0,0
7/10/2020,OR,232,2
3/18/2021,RI,2583,4
10/27/2021,AZ,21044,81
8/14/2021,MN,7823,1
7/6/2021,DC,1142,1
8/2/2020,DC,586,1
1/24/2022,AZ,25624,1
6/16/2020,KY,609,5
2/23/2020,KY,0,0
3/17/2021,DC,1044,2
4/22/2020,FSM,0,0
1/23/2022,AZ,25623,66
10/14/2020,AZ,5772,5
4/15/2021,WY,703,0
1/23/2022,FSM,0,0
8/19/2020,FSM,0,0
6/21/2021,WY,734,0
3/6/2022,LA,16754,0
8/10/2021,OR,2912,9
7/4/2020,RI,962,3
12/11/2021,AZ,23021,74
3/10/2020,WY,0,0
1/24/2021,DC,872,2
4/7/2020,KY,69,5
3/20/2021,DC,1049,2
7/1/2021,AZ,17939,3
3/8/2021,SC,8725,6
6/28/2020,AZ,1588,9
6/1/2020,KY,515,6
5/17/2020,FSM,0,0
5/27/2020,SC,441,2
10/30/2021,LA,14547,0
9/1/2020,VA,2641,29
11/20/2020,VA,3938,26
5/23/2020,KY,454,4
11/2/2020,NJ,16357,3
1/3/2021,AZ,9061,0
11/21/2020,LA,6233,0
2/12/2022,LA,16176,0
5/14/2021,KY,7674,5
10/14/2021,RI,2859,3
2/16/2022,OR,6416,23
5/8/2020,DC,304,19
2/24/2020,VA,0,0
8/24/2020,OR,420,3
10/2/2021,MN,8279,6
10/9/2020,MN,2174,14
12/23/2021,RI,3018,3
11/8/2021,WY,1243,0
5/19/2021,VA,11068,20
3/23/2022,VA,19586,23
12/26/2020,KY,4584,58
10/28/2021,WY,1174,0
1/30/2022,DC,1284,0
3/14/2020,WY,0,0
6/19/2020,WY,20,2
1/11/2021,RI,1942,8
7/14/2021,RI,2731,1
12/5/2020,MN,3979,75
9/8/2020,KY,1295,13
12/15/2020,AZ,7422,64
5/12/2021,KY,7663,8
5/25/2021,SC,9684,13
4/12/2022,KY,15224,0
4/9/2021,OR,2440,1
1/10/2021,DC,817,4
9/3/2021,WY,858,0
11/26/2021,SC,14230,8
1/28/2020,MN,0,0
8/11/2020,AZ,4199,45
1/30/2021,WY,596,0
6/26/2021,KY,7905,6
4/17/2020,OR,70,6
9/30/2020,FSM,0,0
4/29/2021,FSM,0,0
7/27/2020,MN,1620,4
9/16/2021,MN,8063,14
2/20/2020,LA,0,0
12/16/2021,AZ,23344,20
5/22/2020,VA,1159,23
11/15/2020,RI,1263,8
8/11/2021,OR,2920,8
6/7/2020,WY,17,0
4/16/2020,RI,105,18
3/23/2020,OR,5,0
11/29/2021,DC,1196,0
6/12/2021,FSM,0,0
6/21/2021,NJ,26377,3
7/3/2020,FSM,0,0
6/4/2020,KY,534,10
5/24/2021,KY,7738,7
11/6/2021,AZ,21408,60
4/28/2021,DC,1104,4
1/6/2021,RI,1885,20
5/27/2021,FSM,0,0
3/20/2022,SC,17492,0
12/1/2021,DC,1196,0
10/6/2020,VA,3303,12
8/6/2021,RI,2742,0
1/12/2022,SC,14879,45
1/6/2022,VA,15651,8
8/19/2021,NJ,26731,10
11/2/2020,RI,1209,3
8/20/2021,NJ,26739,8
12/20/2021,SC,14530,1
3/3/2020,NJ,0,0
5/25/2021,NJ,26124,24
3/3/2022,OR,6686,34
2/25/2022,AZ,27931,55
5/15/2020,MN,692,1
4/5/2022,SC,17654,1
12/23/2020,MN,5030,75
8/10/2020,RI,1014,0
2/9/2020,WY,0,0
4/29/2021,SC,9472,24
12/24/2020,VA,4820,29
5/12/2020,OR,130,0
3/7/2021,LA,9748,32
7/9/2021,MN,7715,5
9/15/2020,AZ,5344,22
1/3/2022,OR,5666,11
9/5/2020,NJ,15985,7
7/31/2021,DC,1149,0
11/20/2021,NJ,28250,7
1/7/2021,VA,5312,37
5/4/2020,VA,684,0
12/14/2021,NJ,28613,24
7/10/2021,NJ,26501,5
2/7/2021,KY,6496,31
9/4/2021,VA,11923,11
10/16/2021,FSM,0,0
5/12/2021,DC,1115,2
4/4/2020,OR,26,4
5/18/2020,KY,414,8
9/12/2021,WY,879,0
7/12/2021,DC,1144,1
8/9/2020,DC,591,1
6/17/2020,WY,18,0
12/21/2020,VA,4705,51
6/8/2020,OR,164,0
8/16/2021,NJ,26696,1
11/18/2020,SC,4162,14
2/23/2021,VA,7807,149
2/4/2020,SC,0,0
12/1/2020,RI,1376,7
6/12/2020,NJ,12489,46
3/28/2020,RI,0,0
11/1/2020,FSM,0,0
3/3/2021,MN,6575,17
8/5/2020,FSM,0,0
11/2/2020,DC,647,1
8/22/2020,KY,1098,13
12/7/2021,DC,1197,0
3/30/2020,LA,185,34
4/8/2020,SC,50,12
1/9/2022,SC,14812,28
7/30/2021,NJ,26595,5
2/24/2022,AZ,27876,86
4/22/2020,OR,78,0
3/22/2021,MN,6850,0
4/11/2022,MN,12687,7
3/23/2020,KY,4,0
5/11/2021,DC,1113,3
12/14/2020,AZ,7358,1
10/10/2020,RI,1131,2
3/3/2021,SC,8587,25
4/5/2021,SC,9181,1
6/28/2020,DC,550,2
2/17/2022,AZ,27398,209
2/5/2021,KY,6430,37
3/2/2020,MN,0,0
4/11/2022,VA,19918,34
9/10/2020,AZ,5273,22
9/8/2020,MN,1921,7
2/13/2020,KY,0,0
10/20/2020,RI,1163,5
2/16/2021,LA,9325,0
7/16/2021,RI,2735,0
2/13/2020,WY,0,0
11/12/2021,OR,4750,20
8/27/2021,SC,10501,39
2/7/2022,MN,11784,35
1/28/2022,OR,6086,19
7/10/2021,MN,7715,0
3/4/2020,OR,0,0
4/11/2021,OR,2440,0
2/25/2020,AZ,0,0
9/20/2021,MN,8086,3
11/26/2021,KY,12080,18
12/4/2020,AZ,6885,64
9/27/2020,OR,547,1
6/6/2020,MN,1197,16
9/4/2020,VA,2677,15
12/15/2021,MN,10142,54
8/9/2020,SC,2006,46
3/23/2022,WY,1783,0
2/8/2020,AZ,0,0
2/17/2020,NJ,0,0
10/1/2021,LA,13988,39
5/30/2020,AZ,903,18
7/3/2020,OR,209,0
1/11/2022,RI,3144,8
4/28/2020,OR,99,7
6/18/2021,FSM,0,0
5/12/2020,NJ,9508,198
2/9/2022,KY,14280,34
1/14/2022,MN,11111,32
10/9/2020,NJ,16164,3
6/1/2021,RI,2711,1
11/2/2021,AZ,21149,-6
10/18/2021,SC,13355,49
7/1/2021,WY,747,0
3/3/2021,VA,9357,31
3/1/2021,RI,2510,4
2/16/2021,DC,982,2
8/2/2021,KY,8105,9
10/20/2020,KY,1831,25
1/24/2020,FSM,0,0
11/16/2020,OR,765,4
7/27/2020,LA,3786,23
3/10/2021,MN,6773,9
5/23/2020,NJ,11081,96
10/23/2021,SC,13547,37
2/7/2021,RI,2215,5
12/17/2020,FSM,0,0
4/21/2020,NJ,4753,376
12/26/2020,DC,762,6
10/20/2021,KY,11421,35
5/4/2021,MN,7267,11
2/2/2020,LA,0,0
10/2/2020,DC,629,1
3/19/2021,AZ,16691,46
12/5/2020,NJ,17306,51
3/7/2020,AZ,0,0
5/3/2020,AZ,362,14
10/12/2020,SC,3557,2
12/18/2021,RI,2993,1
6/18/2020,NJ,12800,31
6/24/2020,SC,678,14
1/14/2022,VA,15809,5
8/9/2020,MN,1701,3
5/6/2020,WY,7,0
9/18/2021,MN,8079,3
2/9/2020,OR,0,0
9/6/2021,MN,7943,2
3/8/2022,OR,6772,29
7/16/2020,RI,987,1
11/23/2020,MN,3321,24
6/23/2021,FSM,0,0
8/31/2021,AZ,18786,-1
8/15/2021,RI,2746,1
1/10/2022,DC,1233,6
10/13/2020,DC,637,0
1/5/2022,MN,10811,71
5/11/2020,OR,130,3
8/6/2020,FSM,0,0
5/19/2021,RI,2702,0
2/8/2021,FSM,0,0
9/16/2021,NJ,27148,26
11/22/2020,KY,2773,41
12/6/2021,WY,1428,0
3/19/2022,FSM,0,0
1/9/2021,MN,5731,43
1/12/2022,DC,1240,3
2/9/2022,NJ,32187,93
8/26/2021,WY,835,0
7/23/2021,RI,2738,0
2/24/2022,LA,16582,25
12/10/2021,MN,9996,58
1/9/2022,MN,10906,0
8/26/2021,NJ,26807,11
8/18/2020,VA,2410,13
2/11/2021,WY,647,0
4/30/2020,KY,264,8
3/14/2021,WY,691,0
2/4/2022,NJ,31868,99
3/3/2020,SC,0,0
2/20/2021,FSM,0,0
11/19/2020,MN,3138,72
5/22/2021,LA,10522,0
11/24/2020,KY,2851,33
7/10/2021,FSM,0,0
2/21/2022,MN,12131,0
4/7/2020,DC,24,0
9/18/2020,AZ,5451,42
2/16/2020,KY,0,0
3/4/2021,WY,682,0
10/28/2020,WY,77,0
7/17/2020,OR,254,5
4/20/2020,OR,75,1
5/14/2020,AZ,624,30
4/7/2020,NJ,1232,229
12/15/2021,KY,12464,28
1/28/2020,KY,0,0
5/25/2021,FSM,0,0
7/20/2020,LA,3572,29
2/4/2022,DC,1293,0
9/21/2021,RI,2815,1
6/9/2020,WY,17,0
10/26/2020,KY,1962,23
3/18/2021,FSM,0,0
2/12/2021,NJ,22393,64
9/6/2021,NJ,26952,4
7/25/2021,FSM,0,0
2/26/2022,KY,14861,31
3/5/2020,KY,0,0
8/27/2020,VA,2550,23
4/11/2022,SC,17698,0
6/7/2020,FSM,0,0
3/25/2021,AZ,16874,32
7/23/2020,DC,581,1
7/14/2021,LA,10808,10
3/22/2022,FSM,0,0
9/23/2020,KY,1444,11
6/6/2020,VA,1472,12
3/31/2021,VA,10269,17
3/18/2021,WY,693,0
7/30/2020,SC,1594,31
8/27/2021,OR,3115,20
1/8/2022,SC,14784,5
4/7/2021,NJ,24749,49
6/27/2020,AZ,1579,44
3/18/2022,FSM,0,0
3/26/2021,KY,7348,11
7/24/2021,DC,1146,0
9/13/2020,LA,5235,33
3/31/2021,RI,2611,2
8/15/2020,OR,386,1
9/3/2020,DC,609,1
11/30/2021,NJ,28390,42
4/28/2021,MN,7191,22
9/5/2021,AZ,18998,1
10/1/2020,WY,53,3
9/20/2021,VA,12364,32
7/20/2021,OR,2832,6
9/6/2021,DC,1162,0
6/12/2021,OR,2729,3
7/3/2020,AZ,1788,31
4/16/2021,LA,10282,9
11/13/2020,NJ,16522,27
2/10/2020,RI,0,0
8/2/2021,VA,11536,1
11/19/2020,SC,4189,27
1/16/2021,SC,6116,72
8/12/2020,OR,375,7
8/22/2021,AZ,18600,3
1/11/2021,SC,5833,14
1/20/2022,RI,3237,22
3/28/2021,NJ,24389,7
9/17/2021,VA,12274,32
6/16/2021,NJ,26357,12
3/12/2020,NJ,1,0
1/30/2020,NJ,0,0
12/2/2021,AZ,22383,33
2/9/2021,NJ,22103,92
1/23/2022,OR,5936,0
3/31/2020,WY,0,0
12/23/2021,AZ,23841,25
1/22/2020,WY,0,0
5/28/2020,VA,1358,20
7/7/2020,FSM,0,0
3/14/2020,FSM,0,0
6/11/2021,WY,725,0
2/20/2021,DC,994,1
2/12/2022,OR,6355,0
10/16/2021,AZ,20500,9
5/27/2021,DC,1132,1
7/4/2021,FSM,0,0
1/27/2020,DC,0,0
12/25/2020,NJ,18595,51
10/11/2021,KY,11101,40
10/11/2020,OR,599,2
8/2/2021,DC,1149,0
2/18/2022,LA,16400,47
2/14/2022,AZ,27181,1
12/6/2020,RI,1427,11
10/22/2021,VA,13708,40
4/4/2021,OR,2392,1
5/14/2020,FSM,0,0
9/12/2020,VA,2724,2
1/27/2020,FSM,0,0
11/29/2020,VA,4062,4
9/22/2020,AZ,5498,20
2/13/2021,SC,7914,19
8/28/2021,OR,3128,13
6/23/2020,FSM,0,0
1/4/2022,DC,1220,2
5/5/2020,VA,713,29
10/6/2021,MN,8356,40
7/6/2021,KY,7940,8
8/28/2020,SC,2632,58
5/13/2021,RI,2697,2
9/2/2020,OR,468,3
2/3/2022,VA,16703,155
10/31/2021,DC,1190,0
6/17/2020,DC,523,3
12/14/2021,AZ,23243,203
9/4/2020,SC,2817,16
2/8/2022,SC,16005,56
2/16/2020,DC,0,0
1/28/2020,LA,0,0
3/16/2021,FSM,0,0
12/23/2020,LA,7226,68
1/1/2021,FSM,0,0
10/8/2020,AZ,5743,10
2/27/2020,VA,0,0
2/28/2020,DC,0,0
3/26/2021,NJ,24358,28
4/9/2022,NJ,33298,4
5/19/2021,FSM,0,0
2/28/2020,FSM,0,0
5/2/2020,VA,616,35
12/8/2020,AZ,6973,23
7/25/2020,AZ,3286,144
1/20/2021,RI,2052,12
10/15/2020,KY,1722,12
3/29/2020,RI,3,3
12/22/2020,DC,744,2
3/25/2021,NJ,24330,38
12/7/2021,NJ,28494,29
8/8/2021,WY,786,0
7/6/2020,KY,726,14
12/14/2020,SC,4752,12
12/23/2021,OR,5598,8
8/4/2020,RI,1010,1
5/18/2020,WY,10,2
3/30/2020,KY,14,3
11/2/2020,FSM,0,0
8/29/2021,KY,8821,42
12/5/2021,MN,9740,0
10/23/2020,SC,3760,50
1/13/2021,WY,522,0
6/21/2021,SC,9809,0
7/21/2020,LA,3608,36
4/9/2020,WY,0,0
1/27/2022,LA,15570,47
7/27/2021,RI,2738,0
7/13/2020,VA,1977,9
2/27/2021,KY,7011,14
5/6/2020,RI,370,15
10/7/2020,NJ,16152,5
6/13/2021,WY,725,0
4/8/2021,LA,10200,15
8/30/2021,LA,12491,44
2/5/2020,LA,0,0
1/25/2021,KY,6031,43
11/1/2020,AZ,5981,2
6/15/2021,MN,7611,1
3/21/2022,WY,1769,0
2/9/2022,VA,17393,88
11/16/2021,SC,14073,9
9/17/2020,RI,1084,4
7/12/2021,AZ,18035,2
5/1/2020,KY,274,10
12/26/2021,KY,12777,23
1/5/2022,WY,1572,0
3/9/2022,FSM,0,0
6/29/2020,DC,551,1
5/24/2021,VA,11137,21
10/19/2021,OR,4226,41
10/18/2021,DC,1184,1
8/22/2021,SC,10321,27
5/31/2020,SC,487,9
12/4/2020,LA,6548,24
9/9/2021,WY,879,0
2/5/2020,RI,0,0
9/8/2021,LA,12915,136
3/10/2021,KY,7159,15
9/15/2021,AZ,19333,29
11/20/2020,DC,669,2
5/20/2021,FSM,0,0
7/29/2021,RI,2738,0
1/5/2021,MN,5520,18
3/13/2020,RI,0,0
2/20/2022,MN,12131,0
7/9/2020,LA,3355,16
1/16/2021,KY,5623,46
3/5/2020,FSM,0,0
5/1/2020,NJ,7538,310
4/26/2020,LA,1729,85
7/14/2021,AZ,18076,21
4/7/2020,LA,582,70
5/24/2020,SC,425,5
3/14/2020,SC,0,0
7/29/2020,LA,3883,71
10/22/2020,DC,642,0
5/23/2020,WY,12,0
11/29/2021,VA,14710,54
12/8/2020,MN,4086,22
4/22/2020,RI,181,10
2/23/2020,LA,0,0
2/17/2020,VA,0,0
7/13/2020,WY,21,0
5/27/2020,LA,2722,21
4/8/2021,KY,7452,9
5/29/2020,VA,1370,12
2/2/2021,AZ,13362,238
7/4/2021,WY,747,0
8/4/2020,MN,1670,10
1/10/2022,KY,13180,19
1/3/2021,LA,7537,49
3/13/2021,WY,691,0
12/10/2020,AZ,7154,73
12/20/2021,AZ,23519,0
2/3/2021,FSM,0,0
11/20/2020,RI,1291,5
8/10/2021,VA,11581,3
2/1/2022,WY,1650,25
12/22/2021,KY,12672,37
11/10/2021,MN,9049,43
3/12/2022,FSM,0,0
5/21/2021,FSM,0,0
3/12/2021,OR,2319,3
7/13/2020,SC,963,10
1/1/2021,DC,788,2
10/8/2020,DC,634,2
2/26/2022,AZ,27946,15
3/23/2021,AZ,16798,53
3/27/2022,OR,7035,0
11/23/2020,AZ,6464,0
7/28/2021,DC,1148,1
2/8/2020,FSM,0,0
10/8/2020,LA,5609,5
2/22/2022,WY,1718,29
5/25/2021,OR,2628,4
4/27/2021,SC,9412,2
4/3/2020,KY,42,10
1/14/2022,KY,13321,45
6/22/2020,RI,902,5
5/30/2021,DC,1132,0
4/21/2021,SC,9342,11
5/6/2020,FSM,0,0
11/20/2021,KY,11986,11
10/20/2020,VA,3515,30
3/24/2021,KY,7329,6
9/4/2021,MN,7939,2
9/25/2020,RI,1106,1
2/5/2021,NJ,21886,93
9/20/2020,FSM,0,0
6/22/2020,WY,20,0
1/29/2020,WY,0,0
2/21/2021,FSM,0,0
9/27/2020,RI,1107,0
10/24/2021,RI,2872,0
1/19/2022,WY,1601,0
7/23/2020,FSM,0,0
9/9/2021,VA,12036,26
1/22/2022,VA,15894,0
7/26/2021,DC,1147,1
12/18/2020,DC,728,3
7/14/2021,MN,7723,3
2/27/2022,WY,1718,0
4/23/2021,NJ,25328,27
11/17/2020,SC,4148,30
11/5/2021,SC,13881,9
9/27/2021,WY,955,0
7/19/2020,AZ,2761,31
12/12/2021,OR,5381,0
3/30/2022,OR,7139,24
8/29/2020,LA,4904,0
2/5/2022,VA,16846,0
2/13/2021,LA,9276,0
7/8/2021,WY,751,0
9/29/2021,VA,12750,53
12/4/2020,KY,3325,51
5/21/2020,MN,851,65
7/8/2020,MN,1528,14
2/27/2022,KY,14878,17
5/1/2021,MN,7247,10
3/28/2021,OR,2375,0
6/15/2021,SC,9790,0
9/10/2021,OR,3414,20
5/6/2021,KY,7624,5
11/25/2020,DC,677,4
3/27/2022,RI,3521,0
1/23/2021,SC,6497,77
3/19/2022,KY,15178,11
6/14/2021,SC,9790,2
8/13/2021,SC,10080,16
5/11/2020,RI,430,8
7/25/2020,FSM,0,0
7/18/2020,DC,578,1
10/23/2020,NJ,16273,10
12/31/2021,NJ,29037,37
3/9/2022,OR,6800,28
2/4/2022,VA,16846,143
8/18/2020,NJ,15925,9
8/25/2020,DC,604,0
10/2/2021,FSM,0,0
1/26/2022,DC,1282,4
6/15/2020,DC,515,0
6/20/2021,OR,2754,3
12/13/2021,KY,12410,19
9/8/2021,AZ,19079,26
10/13/2020,SC,3564,7
2/25/2022,RI,3434,0
7/3/2021,LA,10758,1
7/23/2020,SC,1289,62
2/13/2022,WY,1667,0
12/21/2020,LA,7107,65
6/6/2020,FSM,0,0
8/20/2021,WY,809,0
6/20/2020,FSM,0,0
6/22/2020,LA,3117,12
10/5/2020,OR,572,0
6/24/2021,FSM,0,0
2/28/2022,NJ,32915,21
4/6/2020,SC,36,4
1/26/2021,RI,2120,16
2/20/2021,AZ,15480,59
11/19/2021,WY,1347,0
2/10/2022,OR,6344,22
3/15/2021,MN,6815,1
6/27/2020,NJ,14948,34
8/31/2020,AZ,5029,-1
5/10/2021,AZ,17409,0
5/26/2021,FSM,0,0
1/4/2021,MN,5502,13
8/6/2020,RI,1013,2
12/3/2021,LA,14826,12
3/30/2021,NJ,24486,82
8/29/2021,AZ,18787,8
7/19/2021,MN,7731,1
10/3/2021,SC,12731,78
8/11/2020,DC,593,2
8/6/2021,VA,11569,11
3/9/2022,VA,19165,35
11/9/2020,AZ,6164,0
3/14/2022,WY,1749,0
3/6/2022,NJ,33011,6
4/5/2020,LA,477,68
10/23/2021,DC,1186,0
2/28/2020,OR,0,0
1/28/2020,RI,0,0
3/30/2021,KY,7384,12
10/12/2021,RI,2855,1
4/8/2020,VA,109,34
6/24/2020,DC,541,4
12/18/2020,VA,4643,44
2/5/2020,VA,0,0
9/11/2020,LA,5202,41
2/26/2021,NJ,23192,45
11/17/2020,WY,155,11
3/22/2020,DC,2,1
11/9/2021,VA,14261,36
12/16/2020,OR,1262,49
6/7/2021,DC,1136,0
7/16/2021,MN,7728,3
3/1/2021,VA,8943,160
2/12/2020,DC,0,0
3/14/2022,FSM,0,0
1/13/2021,FSM,0,0
